Sire	Dams	dano	R2	arcsinR2
30	69	0.094079	0.905921	1.259048
30	69	0.166667	0.83333333	1.150262
30	69	0.14739	0.85261	1.176765
30	69	0.13515	0.86485	1.19434
30	69	0.16081	0.83919	1.158176
30	69	0.15421	0.84579	1.167235
30	69	0.13497	0.86503	1.194603
30	69	0.18033	0.81967	1.132218
30	69	0.25	0.75	1.047198
30	70	0.093747	0.906253	1.259617
30	70	0.21723	0.78277	1.085942
30	70	0.2493	0.7507	1.048006
30	70	0.18475	0.81525	1.126497
30	70	0.12984	0.87016	1.202171
30	70	0.2	0.8	1.107149
30	70	0.14	0.86	1.187299
31	75	0.24421	0.75579	1.053909
31	75	0.1759	0.8241	1.138007
31	75	0.085744	0.914256	1.273621
31	75	0.3	0.7	0.991157
31	75	0.67	0.33	0.61194
31	75	0.35	0.65	0.937744
31	75	0.31	0.69	0.980296
31	75	0.4156	0.5844	0.870204
31	75	0.32562	0.67438	0.963522
31	75	0.2666	0.7334	1.028233
31	75	0.2267	0.7733	1.074547
31	75	0.18293	0.81707	1.128846
31	75	0.25471	0.74529	1.041776
31	75	0.16097	0.83903	1.157958
31	76	0.3	0.7	0.991157
31	76	0.20065	0.79935	1.106337
31	76	0.18467	0.81533	1.1266
31	76	0.25284	0.74716	1.043924
31	76	0.3	0.7	0.991157
31	76	0.16341	0.83659	1.154649
31	76	0.10268	0.89732	1.244605
31	76	0.21	0.79	1.094763
32	77	0.15	0.85	1.173097
32	77	0.1074	0.8926	1.236908
32	77	0.17672	0.82328	1.136931
32	77	0.1514	0.8486	1.17114
32	77	0.19796	0.80204	1.109704
32	77	0.14843	0.85157	1.1753
32	77	0.099425	0.900575	1.250005
32	77	0.33649	0.66351	0.951972
32	77	0.1758	0.8242	1.138139
32	78	0.22503	0.77497	1.076544
32	78	0.13939	0.86061	1.188179
32	78	0.37389	0.62611	0.912885
32	78	0.125	0.875	1.209429
32	78	0.27032	0.72968	1.024035
33	79	0.20848	0.79152	1.096631
33	79	0.22901	0.77099	1.071794
33	79	0.208	0.792	1.097222
33	79	0.11796	0.88204	1.220205
33	79	0.25118	0.74882	1.045836
33	79	0.25888	0.74112	1.037003
33	79	0.25571	0.74429	1.040629
33	79	0.36247	0.63753	0.924724
33	79	0.16	0.84	1.159279
33	79	0.29737	0.70263	0.99403
33	79	0.13	0.87	1.201933
33	79	0.053388	0.946612	1.337631
33	79	0.15897	0.84103	1.160686
33	79	0.1637	0.8363	1.154257
33	79	0.20914	0.79086	1.095819
33	79	0.21578	0.78422	1.087702
33	79	0.21637	0.78363	1.086986
33	80	0.14772	0.85228	1.1763
33	80	0.20626	0.79374	1.099369
33	80	0.1972	0.8028	1.110658
33	80	0.43567	0.56433	0.849907
33	80	0.1732	0.8268	1.141564
33	80	0.27085	0.72915	1.023439
33	80	0.46352	0.53648	0.821911
34	83	0.1895	0.8105	1.120407
34	83	0.080153	0.919847	1.283758
34	83	0.12907	0.87093	1.203318
34	83	0.26609	0.73391	1.028809
34	83	0.22234	0.77766	1.079772
34	83	0.27845	0.72155	1.014925
34	84	0.11433	0.88567	1.22587
34	84	0.16367	0.83633	1.154297
34	84	0.2305	0.7695	1.070023
34	84	0.1823	0.8177	1.129661
34	84	0.18	0.82	1.132647
