"","mo","fa","midparent","off"
"1",66.59,66.03,66.31,81.72
"2",71.55,72.8,72.175,77.95
"3",98.38,69.27,83.825,75.7
"4",76.06,68.57,72.315,71.26
"5",76.94,64.34,70.64,60.69
"6",100.73,70.68,85.705,75.38
"7",81.91,65.51,73.71,60.09
"8",56.02,59.32,57.67,45.63
"9",64.7,68.34,66.52,76.01
"10",68.32,77.43,72.875,64.13
"11",93.36,66.97,80.165,75.98
"12",80.4,75.26,77.83,72.99
"13",81.01,59.67,70.34,77.77
"14",76.66,70.61,73.635,61.72
"15",66.66,74.64,70.65,52.86
"16",101.8,73.11,87.455,98.34
"17",82.47,71.74,77.105,66.05
"18",45.5,66.52,56.01,41.08
"19",85.52,65.05,75.285,57.44
"20",67.91,63.83,65.87,46.84
"21",58.98,71.82,65.4,51.84
"22",71.73,64.37,68.05,68.16
"23",59.61,67.57,63.59,67.53
"24",64.07,69.21,66.64,66.54
"25",65.62,83.91,74.765,61.82
"26",49.7,66.44,58.07,51.19
"27",87.57,72.65,80.11,66.54
"28",77.3,71.55,74.425,60.38
"29",57.93,64.27,61.1,63.2
"30",93.81,70.5,82.155,66.11
"31",81.4,81.11,81.255,92.71
"32",70.57,74.16,72.365,63.87
"33",88.43,71.29,79.86,75.73
"34",88.17,68.04,78.105,64.92
"35",87.32,56.63,71.975,62.1
"36",85.33,78.92,82.125,61.38
"37",83.31,60.78,72.045,65.26
"38",74.07,76.18,75.125,71.59
"39",70.41,84.36,77.385,71.5
"40",69.29,60.89,65.09,51.61
"41",64.58,75.91,70.245,54.2
"42",71.88,69.16,70.52,58.72
"43",56.02,59.99,58.005,66.77
"44",107.53,60.4,83.965,68.91
"45",93.12,59.79,76.455,70.35
"46",58.15,67.28,62.715,74.56
"47",68.96,60.77,64.865,58.19
"48",68,75.82,71.91,50.34
"49",86.7,85.7,86.2,71.03
"50",73.75,61.99,67.87,67.11
"51",78.8,76.51,77.655,66.36
"52",74.57,76.38,75.475,62.13
"53",74.36,73.33,73.845,63.12
"54",95.53,63.94,79.735,75.83
"55",71.61,70.16,70.885,79.93
"56",97.75,69.04,83.395,77.04
"57",51.77,74.94,63.355,65.51
"58",83.77,68.39,76.08,76.32
"59",76.86,77.84,77.35,68.38
"60",78.24,68.38,73.31,51.63
"61",80.69,78.37,79.53,66.6
"62",67.47,63.66,65.565,54.49
"63",70,62.18,66.09,60.74
"64",59.72,93.69,76.705,78.64
"65",58.92,68.08,63.5,79.17
"66",79.55,73.09,76.32,84.81
"67",81.72,75.46,78.59,70.03
"68",75.8,67.61,71.705,47.79
"69",88.83,74.62,81.725,71.09
"70",105.75,73.58,89.665,84.81
"71",67.63,69.49,68.56,69.97
"72",40.36,71.46,55.91,56.83
"73",90.09,70.76,80.425,81.16
"74",64.36,85.9,75.13,51.51
"75",64.68,65.81,65.245,67.1
"76",90.38,63.33,76.855,67.41
"77",70.73,71.26,70.995,65.59
"78",56.69,73.17,64.93,57.54
"79",77.72,74.06,75.89,72.95
"80",72.92,67.79,70.355,64.08
"81",75.09,63.56,69.325,46.87
"82",80.78,79.84,80.31,79.74
"83",69.44,68.55,68.995,66.05
"84",84.67,64.94,74.805,66.64
"85",71.69,69.35,70.52,64.88
"86",79.98,69.62,74.8,69.69
"87",91.45,78.77,85.11,80.08
"88",81.53,71.59,76.56,86.31
"89",70.11,76.28,73.195,63.07
"90",92.23,67.5,79.865,76.04
"91",89.9,72.5,81.2,86.51
"92",83.23,68.73,75.98,80.37
"93",78.58,71.66,75.12,79.75
"94",65.58,64.73,65.155,52.95
"95",95.41,61.82,78.615,94.14
"96",66,84.98,75.49,66.71
"97",107.81,75.2,91.505,104.29
"98",97.99,62.24,80.115,62.17
"99",71.46,66.72,69.09,62.87
"100",59.6,62.7,61.15,67.23
